,precision,recall,f1-score,TP,FP,FN
bem_te_vi,1.0,1.0,1.0,126,0,0
canario_do_amazonas,0.9918032786885246,0.9958847736625515,0.9938398357289527,242,2,1
chupim,0.9683794466403162,0.9919028340080972,0.9800000000000001,245,8,2
rolinha,0.9801980198019802,1.0,0.99,99,2,0
sanhaco_da_amazonia,0.9929078014184397,0.9929078014184397,0.9929078014184397,140,1,1
sanhaco_do_coqueiro,0.9748427672955975,1.0,0.9872611464968153,155,4,0
